matricula;estado;lat;long
3307PNS;1;37.9328;3.80014;
8821DTE;0;37.8682;3.82675;
2688WXL;1;37.2058;3.46147;
3365CAQ;3;37.7873;3.11849;
5589JTN;3;37.6333;3.45608;
3033GDS;2;37.6442;3.42975;
5663QMP;0;37.9631;3.90505;
2802YPB;3;37.6162;3.25583;
1116AYC;3;37.3557;3.01864;
3531KBG;0;37.5764;3.81344;
8220KYR;1;37.6641;3.52258;
5286ZHC;3;37.9829;3.24942;
2135FIP;3;37.7729;3.26104;
6830JLE;2;37.1629;3.1309;
0788QVP;2;37.6795;3.76615;
3676PMY;0;37.4127;3.88751;
7110OYT;0;37.2758;3.19046;
4292NTD;0;37.7498;3.92141;
4353ZUV;0;37.3875;3.44098;
6437PTV;2;37.1015;3.40527;
8048KPZ;1;37.9169;3.30028;
6463BYP;0;37.8047;3.03735;
4877AQV;1;37.513;3.37575;
9316HZP;0;37.6394;3.32391;
0218ZIU;2;37.5955;3.68557;
3610CXA;1;37.2913;3.5418;
2035OGW;1;37.234;3.4502;
9700JNJ;2;37.0699;3.72242;
4027YUW;2;37.2963;3.79432;
1576AXF;0;37.4864;3.18674;
4774USN;1;37.0363;3.72798;
4598YHI;1;37.1469;3.65132;
0549DGW;2;37.3894;3.80589;
8645QOK;3;37.0397;3.31191;
4335AKO;2;37.134;3.6835;
2398WDB;0;37.6713;3.52358;
6080LQE;3;37.1166;3.45555;
8071DNF;3;37.0452;3.52143;
0539ELS;3;37.7342;3.21904;
2400QPF;1;37.3557;3.16065;
8595OAS;0;37.848;3.92019;
8574XFL;3;37.8685;3.55911;
9171NLT;0;37.5828;3.10279;
5736KTQ;1;37.5304;3.40751;
5054COG;1;37.705;3.54405;
8797JHT;2;37.9918;3.61361;
8703NTK;2;37.6773;3.06423;
2767XGY;3;37.2858;3.36145;
8097NWA;2;37.4873;3.0666;
4014HKJ;2;37.3491;3.47937;
4002QEI;2;37.591;3.46982;
4133BDI;3;37.7931;3.57922;
7750MKP;3;37.0488;3.36527;
1683ACV;2;37.6209;3.86435;
6641XRG;1;37.88;3.71741;
0097BBF;2;37.7228;3.54829;
9647ZLN;1;37.4031;3.40394;
2598RXK;3;37.121;3.29778;
5697TGI;1;37.4257;3.41163;
3457HTI;1;37.5801;3.01837;
4874IIZ;0;37.454;3.08668;
3905IVN;3;37.5073;3.51187;
8304FRP;3;37.9751;3.43827;
9397ZHV;0;37.6175;3.31695;
9771IRH;0;37.2682;3.86288;
8558LSN;2;37.8656;3.11374;
3554SAN;1;37.924;3.05668;
7334RFT;2;37.9598;3.22351;
7952HGM;3;37.2121;3.47168;
5770ZTC;2;37.7371;3.17869;
8953JEG;3;37.0689;3.21619;
5810GHO;3;37.2882;3.39199;
7974HQN;1;37.5611;3.7653;
1278LMH;0;37.1257;3.16695;
8611IGI;0;37.0611;3.15618;
6873KAF;1;37.1879;3.30004;
8007BKK;0;37.9462;3.49308;
7409JOD;2;37.7812;3.43788;
0348BIE;2;37.7373;3.887;
2703ZRD;3;37.2501;3.95165;
2534UYH;1;37.6611;3.70655;
9735HKJ;1;37.894;3.9328;
5198EQP;3;37.1997;3.61975;
6661GME;3;37.036;3.72466;
7673PGH;0;37.8076;3.09589;
6985VUY;1;37.9298;3.34223;
0018YWI;0;37.9963;3.32547;
2952YYK;1;37.1394;3.94574;
6024TDO;3;37.725;3.85237;
7458SNE;2;37.6847;3.25999;
5352TRC;2;37.5888;3.92019;
8660CKW;3;37.9596;3.80073;
5232DFN;3;37.6457;3.41061;
5120KPN;2;37.7647;3.39469;
3461WXR;2;37.0427;3.28633;
9192GWZ;3;37.1442;3.03201;
6990EZN;1;37.222;3.41048;
3432OND;3;37.734;3.2007;
0380JGQ;0;37.1943;3.66812;
6005EKI;1;37.6013;3.94638;
0183RWF;2;37.9365;3.2877;
3221ALY;2;37.3747;3.9885;
7727WOH;2;37.781;3.97445;
8898BQK;2;37.9991;3.02033;
9371TTK;1;37.8023;3.98238;
7711AUV;1;37.5314;3.22181;
5065YOL;0;37.6434;3.3891;
8055RUL;0;37.2628;3.90401;
2643VCF;0;37.7764;3.82441;
3609BTV;3;37.3109;3.20734;
5160NFL;2;37.3617;3.46038;
1137JKF;2;37.8703;3.14184;
8461DCM;3;37.1435;3.57376;
3299SCQ;3;37.1523;3.84718;
4737CKF;3;37.1648;3.85378;
5761SMD;0;37.2703;3.17239;
8647TTJ;1;37.4777;3.82513;
9265BQB;1;37.3938;3.99601;
5242BYO;3;37.8878;3.37723;
3590GET;1;37.8389;3.95709;
0528UBI;3;37.2158;3.22299;
4618IKE;0;37.1586;3.58854;
1340RQO;2;37.4057;3.22772;
3965HCH;1;37.2731;3.79135;
0011KLW;2;37.0077;3.93488;
4440SZD;2;37.2596;3.65535;
4720WJV;3;37.6092;3.86004;
3376NJO;1;37.5336;3.38567;
0785MYI;1;37.7653;3.34429;
1973NHR;0;37.8785;3.06932;
7656QKP;0;37.0543;3.3554;
8648HEM;1;37.5757;3.83036;
9588GCG;1;37.9217;3.35332;
1219ABB;2;37.7802;3.8363;
3077AGK;0;37.1673;3.94737;
0128FPA;1;37.918;3.7735;
0893BNV;0;37.2013;3.66249;
3810WVM;0;37.7616;3.20163;
7372OYN;0;37.6226;3.63231;
1412QQI;3;37.5021;3.68296;
2665FGI;3;37.0242;3.73093;
5332DZV;0;37.4336;3.61235;
8531VVC;3;37.7285;3.21099;
1839RGL;1;37.5824;3.02238;
3948CMF;3;37.3248;3.63903;
4279OTL;2;37.1072;3.59877;
7100YRZ;1;37.1375;3.21505;
6201SGL;1;37.9822;3.39214;
1729FGO;0;37.5778;3.61976;
3503HGH;2;37.8043;3.5203;
5628FGY;2;37.5221;3.4911;
0672VCI;1;37.5648;3.82422;
6278DGO;0;37.8011;3.89601;
6898QYI;3;37.1285;3.84203;
1180BNZ;1;37.5761;3.5461;
9396HPW;3;37.9833;3.09344;
8267OGT;3;37.9695;3.56014;
6096VMS;2;37.7533;3.19452;
5245CZW;1;37.0057;3.39244;
2218VAL;1;37.606;3.29;
3773SEZ;2;37.2566;3.59648;
1535AQY;0;37.7797;3.66421;
8319KSJ;3;37.1622;3.36754;
3320ASW;3;37.1516;3.27929;
8904ISC;0;37.9506;3.56299;
0123YOS;2;37.8331;3.90273;
2106NOM;2;37.676;3.32323;
8618CJT;2;37.0958;3.29091;
9274VBW;1;37.338;3.92213;
1213ASY;1;37.5956;3.73655;
7181JJQ;0;37.7917;3.43768;
0167BZV;1;37.3849;3.47899;
9240PRF;1;37.4875;3.47322;
1780UGT;3;37.9807;3.74759;
3531UGY;3;37.7553;3.98408;
6972AND;1;37.577;3.93228;
6877STT;1;37.6553;3.26999;
1565YZN;3;37.8756;3.82895;
8496ZHB;2;37.3178;3.09805;
6055TFI;0;37.9875;3.78872;
6624ZPV;0;37.6764;3.70661;
8409QBU;1;37.2955;3.74394;
1246LIU;3;37.5226;3.01618;
8621LHO;0;37.6391;3.73621;
4425RZY;3;37.793;3.83424;
1147GNV;2;37.297;3.03506;
6389QTG;2;37.2952;3.31339;
0445XBQ;0;37.1382;3.4304;
8723XMW;2;37.7896;3.47004;
0071BPS;2;37.1555;3.50255;
8673VWY;1;37.09;3.05178;
4588IXQ;0;37.2531;3.11214;
8045DIC;2;37.6935;3.31289;
8237FAQ;0;37.4201;3.91419;
3693SXT;0;37.8884;3.197;
8414DXC;1;37.6077;3.61767;
8713JML;1;37.8504;3.71871;
7757NFE;2;37.3818;3.71597;
7388YHN;0;37.8083;3.16612;
9922ILS;1;37.6513;3.29209;
3348MPQ;1;37.991;3.1592;
3232JJR;2;37.317;3.35737;
1415SNY;3;37.0385;3.17713;
8054OGU;0;37.6704;3.64899;
0423OZI;0;37.2807;3.74216;
4486VYL;1;37.5466;3.11977;
1987QNL;2;37.2518;3.06302;
1125GFW;2;37.2314;3.49999;
4724ZCS;1;37.0141;3.78229;
3734MHT;3;37.31;3.89578;
1383WCI;1;37.4408;3.69007;
9173XAB;3;37.489;3.32636;
1525BYW;2;37.9327;3.38557;
0438NNJ;0;37.8713;3.40622;
7796XGX;2;37.3837;3.5132;
7551IIJ;2;37.924;3.88596;
6381XIB;2;37.2307;3.34165;
2333UGF;1;37.82;3.5011;
3801TGV;1;37.0908;3.99332;
5956UQS;1;37.1171;3.86529;
1754NVY;2;37.5032;3.09544;
3605FEB;0;37.7376;3.92515;
8213ITO;2;37.2752;3.43872;
6622URZ;0;37.2027;3.72336;
6189FPN;2;37.7999;3.59933;
8429RHR;1;37.2894;3.06449;
6461SIS;1;37.4104;3.197;
3841FVG;0;37.8615;3.98004;
0603ZJC;0;37.7199;3.77408;
4990MVC;1;37.9968;3.44293;
9235OIA;2;37.8717;3.82401;
2542SLU;2;37.4222;3.7005;
2661HLL;3;37.6993;3.85599;
2725PMV;3;37.4669;3.79601;
9705MUZ;0;37.0615;3.62129;
3979UYG;1;37.0537;3.91941;
1044LDU;0;37.347;3.811;
1471JPH;2;37.2735;3.03404;
3073NCJ;2;37.8427;3.15123;
4190DCN;3;37.575;3.09328;
9686JTV;0;37.4142;3.08084;
7366CDG;0;37.7837;3.44505;
9299IQB;0;37.0999;3.7693;
8626WVP;1;37.2811;3.85391;
9115RTL;2;37.62;3.35459;
0929OVX;1;37.1668;3.40391;
6110BBM;0;37.228;3.94377;
2075SIY;3;37.2114;3.66148;
1876HNZ;0;37.2643;3.59459;
1814BCX;1;37.9186;3.08767;
7056NXS;0;37.0808;3.60877;
0999VLE;2;37.8229;3.94891;
0873GWX;0;37.1997;3.05071;
2047OSE;0;37.31;3.51369;
7087PXY;3;37.5471;3.35779;
9048GGW;1;37.9084;3.71217;
3170WZU;3;37.4242;3.9137;
3941ENJ;0;37.1431;3.59715;
8372QXC;2;37.2352;3.23636;
8827ECL;2;37.5186;3.04899;
0164ATN;1;37.6609;3.1735;
2972PFD;2;37.486;3.83315;
7111DPV;2;37.5262;3.55432;
1069PSQ;0;37.2329;3.39402;
0857YZU;0;37.1943;3.39744;
8431VKN;2;37.6338;3.54593;
5391IKE;3;37.8075;3.87463;
5102IBD;2;37.5983;3.61507;
1966PVO;2;37.5717;3.09172;
7376RMN;1;37.8178;3.54671;
3893KFK;0;37.195;3.04182;
8275JYK;1;37.6358;3.91422;
0927JVD;2;37.9936;3.68404;
8527GLG;1;37.5673;3.74315;
4143CJR;1;37.1864;3.59688;
9241QKM;1;37.7234;3.42226;
6598MKD;1;37.4242;3.13796;
4548HYV;2;37.0824;3.17627;
2528UWK;3;37.933;3.87702;
1421CUB;2;37.0571;3.18783;
0674SCJ;0;37.1144;3.91122;
4716ZYZ;0;37.1953;3.67905;
7831LHJ;0;37.7375;3.44818;
4274MBS;3;37.3843;3.63241;
6167UAZ;3;37.6384;3.86438;
2137IOC;1;37.3132;3.17713;
4103RID;0;37.433;3.31773;
9686FMM;1;37.4355;3.74979;
5358WBJ;2;37.5566;3.88112;
6938OHV;3;37.4465;3.10738;
0278MOY;0;37.1329;3.06359;
2147HGU;0;37.6859;3.65268;
6522JQH;2;37.7473;3.74435;
5824STJ;0;37.4917;3.23344;
9855NBR;0;37.7349;3.08586;
9261AGR;1;37.2447;3.81183;
9653SFI;3;37.8342;3.16075;
4401LLG;0;37.1858;3.33877;
6482RGE;3;37.6619;3.49758;
0616PNH;2;37.6894;3.18281;
0932EVP;1;37.1227;3.10747;
1519YXB;0;37.1022;3.06053;
1284YJG;0;37.8528;3.93593;
3928TAR;1;37.4789;3.45784;
0081XSC;2;37.7768;3.76549;
8878PHU;1;37.9116;3.75158;
4698ZQQ;2;37.3725;3.47024;
3764HIY;3;37.4202;3.78467;
6703LJO;3;37.7417;3.74906;
5224QJE;2;37.5923;3.96043;
0597RUJ;0;37.6064;3.38325;
5205PIS;1;37.3554;3.32443;
3006USD;1;37.6048;3.47756;
9930WOV;3;37.1875;3.69694;
9691DCH;2;37.6163;3.37021;
4797PCT;0;37.0548;3.5441;
0225OQN;3;37.1246;3.08395;
4783AVD;2;37.1516;3.72146;
9448TVS;2;37.8928;3.76529;
5317SEB;0;37.775;3.55517;
2662DFR;1;37.8521;3.01312;
0016MAX;3;37.7178;3.67497;
8142OEA;2;37.0026;3.89601;
9896QXF;2;37.4542;3.2748;
7068EEE;1;37.1147;3.81979;
1645MOG;0;37.0343;3.92516;
3875AHU;3;37.9734;3.56681;
9085UGV;0;37.6033;3.93868;
7093ENH;0;37.3933;3.21878;
6865ZQJ;1;37.737;3.09186;
3431PPF;2;37.571;3.27042;
9770AZJ;3;37.2117;3.06787;
9157XQD;0;37.5996;3.84328;
0725HNT;0;37.3837;3.9877;
7106SSZ;1;37.0954;3.82047;
2597OIZ;0;37.1692;3.10759;
2337EEE;3;37.46;3.57302;
2584BUS;2;37.3704;3.75186;
0912YNK;2;37.5174;3.35918;
1484TGQ;1;37.5755;3.55686;
8228PQC;1;37.4872;3.46271;
3394LRU;1;37.8847;3.10625;
6956RYH;0;37.6887;3.44413;
1055GSZ;0;37.7092;3.5387;
7976OOY;0;37.5685;3.3692;
7623IQT;3;37.9156;3.86676;
0338CZG;0;37.1042;3.2105;
0109BKN;3;37.0219;3.79138;
9103EPH;0;37.8319;3.83327;
1367DHI;3;37.6165;3.44847;
8350EOA;3;37.4691;3.74925;
1332AON;0;37.7622;3.21872;
1320MNF;1;37.5618;3.75889;
7574LBU;3;37.1186;3.52105;
5158HWG;2;37.1981;3.42134;
4568ZMU;2;37.0592;3.59369;
8887CBS;3;37.126;3.32198;
7323TFB;2;37.9894;3.70287;
8804AOL;0;37.8677;3.11871;
5353GVG;1;37.3643;3.86624;
9091JVT;2;37.7002;3.08472;
9539UTV;1;37.2453;3.74076;
3970LNS;1;37.3967;3.37352;
6827NBM;0;37.8365;3.89988;
5450SDS;3;37.727;3.23803;
7154EAC;0;37.905;3.08443;
4829DKC;2;37.8395;3.57721;
7282USN;0;37.1344;3.51583;
2918CNS;2;37.0883;3.33041;
6501WIF;1;37.2219;3.15026;
1339OQM;3;37.4463;3.18834;
1714ZNZ;1;37.625;3.74825;
6038PES;2;37.0009;3.32603;
7863TMF;1;37.1592;3.81784;
7669GTW;1;37.9342;3.02595;
9725DBF;2;37.6424;3.22627;
6022FFA;2;37.3826;3.43167;
8604VVO;2;37.4689;3.21806;
8680XZZ;0;37.6879;3.26411;
4686CWH;1;37.9381;3.50978;
5477BAG;3;37.6083;3.97547;
2032AEN;3;37.7618;3.32516;
5296YFM;3;37.9264;3.75301;
8755VEF;1;37.2042;3.70867;
4327ZFZ;0;37.086;3.59907;
7038ADO;2;37.2732;3.96546;
0507MFR;1;37.9032;3.99754;
5770UAD;0;37.4784;3.23089;
3039BVM;1;37.7024;3.95241;
1641HSG;1;37.9874;3.49557;
3721DKT;0;37.9024;3.16864;
8691XIL;1;37.4083;3.87341;
3069QAI;0;37.1685;3.85488;
7691LHS;1;37.2983;3.74844;
5504XLK;0;37.7139;3.32206;
4683VSX;1;37.9307;3.89541;
9669PIQ;1;37.6741;3.09125;
4274NOO;3;37.5153;3.1405;
1839BQH;0;37.8493;3.20582;
8175KZH;0;37.0661;3.89979;
2241ZVP;3;37.1986;3.21085;
0095VVL;0;37.0885;3.67878;
5015ZVK;2;37.7896;3.95024;
4258JSI;2;37.8849;3.56624;
3934CGF;1;37.5511;3.06328;
5598WEL;0;37.5368;3.01988;
7252AES;0;37.9757;3.90044;
5768GKG;1;37.1771;3.70386;
8289QYD;0;37.6543;3.81556;
9275MGP;0;37.6778;3.48169;
1217GZV;1;37.5318;3.49804;
1531JTE;2;37.293;3.08129;
6133YNN;1;37.2549;3.98513;
9641HSG;2;37.579;3.9574;
6799SQV;2;37.1068;3.06299;
1294OHZ;1;37.0352;3.49119;
5681PXQ;2;37.9818;3.71692;
9048HDS;2;37.116;3.36698;
7136XTO;3;37.9426;3.64848;
