matricula;estado;lat;long
3307PNS;1;37.9328;3.80014;
8821DTE;0;37.8682;3.82675;
2688WXL;1;37.2058;3.46147;
3365CAQ;3;37.7873;3.11849;
5589JTN;3;37.6333;3.45608;
3033GDS;2;37.6442;3.42975;
5663QMP;0;37.9631;3.90505;
2802YPB;3;37.6162;3.25583;
1116AYC;3;37.3557;3.01864;
3531KBG;0;37.5764;3.81344;
8220KYR;1;37.6641;3.52258;
5286ZHC;3;37.9829;3.24942;
2135FIP;3;37.7729;3.26104;
6830JLE;2;37.1629;3.1309;
0788QVP;2;37.6795;3.76615;
3676PMY;0;37.4127;3.88751;
7110OYT;0;37.2758;3.19046;
4292NTD;0;37.7498;3.92141;
4353ZUV;0;37.3875;3.44098;
0549DGW;0;37.1042;-8,000308;
0380JGQ;0;37.1943;3.66812;
0380JGQ;0;37.1943;3.66812;
